,name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
221,eASIC Corp,0.003064034474438147,4905,2,0,3,0,2,0,1,0
222,All Star Minerals Plc,0.0030534632770110176,7530,7,0,2,11,7,0,3,0
223,Tovis Co Ltd,0.003024704037250174,2106,7,0,0,46,0,0,0,1
224,ViXS Systems Inc,0.0029882865131294033,3452,3,0,0,1,0,0,4,0
225,SAN-EL Muhendislik Elektrik Taahhut San,0.0029258716983016483,1424,3,0,1,5,0,0,0,0
226,Dongbu HiTek Co Ltd,0.002903748515121499,3452,5,0,0,8,1,0,2,0
227,Formation Metals Inc,0.002895417638329019,11514,13,0,47,14,137,0,7,0
228,ams AG,0.002891602635281371,6640,12,0,23,4,0,0,0,0
229,"Integrated Silicon Solution, Inc.",0.002880892738689117,7408,7,0,19,6,0,0,4,0
230,Noranda Income Fund,0.002874613738285367,4288,9,0,10,0,43,0,1,0
231,"Tibet Mineral Development Co., Ltd",0.0028378356664987953,5188,8,0,0,12,17,0,2,0
232,Boksit a.d. Milici,0.00282268402888286,5953,7,0,0,2,24,0,2,0
233,LandMark Optoelectronics Corp,0.0028212004748944452,3275,7,0,0,8,2,0,0,0
234,"Xiangtan Electrochemical Scie. Co., Ltd.",0.0027983149793489076,3747,7,0,0,9,9,0,1,0
235,Search Minerals Inc,0.002797325390663377,8214,13,0,19,6,43,0,2,0
236,IQE plc,0.0027634797332860275,3101,3,0,2,2,0,0,0,0
237,Semiconductor Manufacturing Int'l,0.0027454501083113577,5600,4,0,1,8,0,0,9,0
238,Tay Bac Minerals Investment JSC,0.0027329481972133687,7265,9,0,6,36,10,0,6,0
239,Qingdao Haili Metal One Co Ltd,0.00270425116691616,4150,9,0,0,8,46,0,2,0
240,Chia Chang Co Ltd,0.0026665504349872105,4902,7,0,1,11,21,0,1,0
241,Nippon Light Metal Holdings Co Ltd,0.0026044227915380386,3582,8,0,2,18,71,0,1,0
242,Okmetic Oyj,0.0025680829505777595,4101,11,0,38,0,0,0,1,0
243,Taiwan Semiconductor Mfg. Co. Ltd. (ADR),0.0025565114336496054,8970,10,0,4,18,2,0,10,0
244,Taiwan Semiconductor Mfg. Co. Ltd.,0.0025376634828065524,9196,11,0,4,11,1,0,5,0
245,United States Antimony Corporation,0.002526995010435809,10557,13,0,8,14,67,0,6,0
246,Yeebo (International Holdings) Ltd,0.0025017376364329883,3654,7,0,4,16,0,0,0,0
247,Semicon Light Co Ltd,0.002483746779662835,7567,12,0,3,11,6,0,0,0
