,name,score,document_length,url_count,car,car engine oil,engine,industrial,industrial oil,lubricant,lubricate,oil
51,Al Maha Petroleum Products Marketing Co.,0.0002847891876224671,6192,11,40,0,11,4,0,25,0,72
52,Caltex Australia Limited,0.0002684620063540887,5542,8,38,0,6,8,0,15,0,73
53,Petrolimex Hanoi Trans & Trading JSC,0.0002662585812236564,5214,6,14,0,2,0,0,1,0,10
54,PTT Public Company Limited,0.00024172558504164285,5647,9,22,0,6,12,0,15,0,84
55,Slavneft'-Yaroslavnefteorgsintez OAO,0.00023854333624610574,3237,8,12,0,3,6,0,2,0,55
56,Paz Oil Company Ltd,0.0002350195161135942,2914,5,5,0,5,5,0,9,0,83
57,Ha Tay Petrolimex Transport & Ser,0.00022973378444242446,4613,7,14,0,2,4,0,2,0,28
58,Cosan Limited,0.00022792447791185726,2942,8,4,0,0,6,0,26,0,9
59,"SUNAUTAS CO., LTD.",0.00021991844732660977,3463,10,51,0,6,1,0,0,0,26
60,Chevron Corporation,0.00019798612611744465,14019,10,46,0,39,25,0,58,0,350
61,Petrolimex Petrochemical Corporation JSC,0.00019639901903786185,5478,10,32,0,6,1,0,7,0,40
62,Grupa Lotos SA,0.00019398747873765993,3605,11,32,0,6,5,0,4,0,88
63,Michang Oil Ind Co Ltd,0.00018856368697487522,3022,9,6,0,2,16,0,23,0,87
64,Petronas Dagangan Berhad,0.0001806313627305493,8613,13,158,0,12,24,0,70,0,81
65,Ultrapar Participacoes SA (ADR),0.00017488840873999,3695,5,24,0,1,3,0,2,0,13
66,Total Kenya Limited,0.00017397185322749284,4990,10,167,0,12,13,0,109,0,50
67,Esso (Thailand) PCL,0.00014517753769272874,6301,12,25,0,3,5,0,16,0,57
68,The Bangchak Petroleum Public Co. Ltd.,0.00014301774978796352,3585,8,18,0,1,8,0,6,0,48
69,Cmistone Viet Nam JSC,0.00014007399269356857,2685,7,15,0,1,1,0,0,0,15
70,Empresas Copec SA,0.00013985422996136505,5995,7,18,0,1,7,0,6,0,24
71,Hascol Petroleum Ltd,0.00013729693479683363,2948,6,2,0,0,5,0,15,0,25
72,Cosan Limited(USA),0.0001332892669740795,3705,5,8,0,0,3,0,14,0,11
73,IRPC Public Company Limited,0.000121228183126199,6416,9,20,0,2,17,0,5,0,59
74,Shell Oman Marketing Company SAOG,0.00012009395815540311,5034,12,49,0,3,3,0,17,0,58
75,GOCL Corp Ltd,0.0001148612631656978,4918,9,15,0,0,10,0,4,0,26
76,Qatar Fuel QSC,0.00010704438378167084,7071,13,42,0,2,12,0,15,0,63
77,Aegean Marine Petroleum Network Inc.,0.00010409286571851828,5218,9,4,0,2,0,0,29,0,33
78,Itochu Enex Co Ltd,0.00010360822400248224,5065,12,63,0,2,13,0,3,0,38
79,SK Innovation Co Ltd,0.00010346771197579229,8498,13,14,0,6,4,0,38,0,93
80,Naftopererobnyi Kompleks - Halychyna VAT,0.00010232343688446166,7649,5,7,0,1,0,0,0,0,11
81,Showa Shell Sekiyu KK,0.00010078094983338338,5429,9,8,0,6,9,0,14,0,160
82,HollyFrontier Corp,8.824018716132915e-05,1890,12,19,0,0,2,0,26,0,40
83,Saigon Fuel JSC,8.804113046950073e-05,4239,8,17,0,1,2,0,7,0,33
84,Neste Oyj,8.77262410271426e-05,4457,14,16,0,6,1,0,17,0,131
85,"Kukdong Oil & Chemicals Co., Ltd.",8.73888279841241e-05,2256,9,3,0,0,14,0,24,0,94
86,Antarchile SA,8.423830802845129e-05,7622,8,20,0,0,16,0,7,0,5
87,ELINOIL Hellenic Petroleum Company S.A.,8.334853998193669e-05,6197,8,10,0,4,12,0,35,0,111
88,Petrolimex Saigon Trans and Service JSC,8.201602362586988e-05,6006,7,15,0,1,1,0,1,0,12
