name,score,document_length,url_count,aluminum target,iron,ito,metal,sputtering,target,thin film
TerraSem Co Ltd,0.00018950361162946484,5159,10,0,0,16,2,0,1,0
Sitronix Technology Corp,0.00018077550395877422,2550,12,0,1,4,1,0,0,0
Siltronic AG,0.00015363561814826153,3634,12,0,0,4,2,0,1,0
"Join Well Technology Co., Ltd.",0.0001292737901557869,2004,6,0,0,6,0,0,1,0
Success Electronics Ltd,0.00012736604011088647,1895,6,0,2,0,1,0,0,0
LandMark Optoelectronics Corp,0.00012589681637607478,3275,10,0,0,8,2,0,0,0
Manz AG,0.00012134510901120276,4598,11,0,1,2,1,0,1,0
"TPK Holding Co., Ltd.",0.00011663390982255399,4083,8,0,0,13,0,0,1,0
"Shenzhen O-film Tech Co., Ltd.",0.00010845243487544318,1353,7,0,2,1,0,0,0,0
Hua Hong Semiconductor Ltd,0.00010607600564913042,2902,9,0,0,3,0,0,2,0
CHI MEI MATERIALS TECHNOLOGY CORPORATION,0.00010329815484843702,2626,9,0,0,6,0,0,1,0
Tasmania Mines Limited,6.646379739911224e-05,2276,8,0,1,0,1,0,0,0
Shenzhen Sunshine Lsr& Elcts Tech Co Ltd,6.562281199136259e-05,11124,10,0,0,10,5,0,2,0
"Cirrus Logic, Inc.",6.356335751253588e-05,12491,14,0,2,11,0,0,1,0
Advanced Power Electronics Corp,2.2773611435103273e-05,9650,16,0,0,9,1,0,0,0
