name,score,document_length,url_count,components,flat panel display,fpd,parts,pcb,printed circuit board,semiconductor,touch panel
Veeco Instruments Inc.,0.0009370910118014767,1300,12,0,0,0,0,0,0,6,0
Sun East Technology (Holdings) Ltd.,0.000936647418278052,2566,7,0,0,0,0,1,0,0,0
Global Material Science CoLtd,0.0008342311321773343,3601,9,0,0,0,0,0,0,9,0
San Lien Technology Corporation,0.0007157150824405041,3788,9,0,0,0,0,0,0,7,0
TRINITY INDUSTRIAL CORP.,0.0006830987721631794,3149,8,0,0,0,0,0,0,6,0
"YUSHIN PRECISION EQUIPMENT CO., LTD.",0.0006567603556264279,2415,10,0,0,0,0,0,0,7,0
Jinyitong Sci AND TechBeijing Co Ltd,0.0005983979743749744,60190,10,0,0,0,6,0,0,1,0
"Ultratech, Inc.",0.0005765418759118089,6204,15,0,0,0,0,0,0,16,0
Sinoma International Engineering Co Ltd,0.0005660220763727993,3651,13,0,0,0,0,1,0,0,0
Uroica Mining Safety Engineering Co Ltd,0.000514267164086698,3049,8,0,0,0,0,0,0,5,0
Jenoptik AG,0.00038334708056621497,5695,13,0,0,0,0,0,0,9,0
"Y.A.C. CO., LTD.",0.00038047747267151374,2761,9,0,0,0,0,0,0,4,0
Mirae Corp,0.0002638331753956666,3464,8,0,0,0,0,0,0,4,0
I Factory Co Ltd,0.00018244390750898987,4238,10,0,0,0,0,0,0,3,0
Leed Corp,8.108524378387965e-05,9708,12,0,0,0,0,0,0,4,0
Impact Coatings AB,6.270686375803883e-05,1583,11,0,0,0,0,0,0,1,0
Muehlbauer Holding AG & Co. KGaA,4.5434127129874504e-05,3963,6,0,0,0,0,0,0,1,0
Laser Tek Taiwan Co. Ltd.,4.5424749359010686e-05,3919,8,0,0,0,0,0,0,1,0
"NITTOKU ENGINEERING CO., LTD.",4.169097762833404e-05,3457,13,0,0,0,0,0,0,1,0
