name,score,document_length,url_count,accessories,acp,board test,consulting,dc power,dram,flash,foundry,infinity,logic,market,mmw,parametric,power system,radar,reliability test,repair,rf,signal integrity,software,specialty,test,vacuum system
ITbook Co Ltd,0.0034414103036260963,3410,11,0,0,0,14,0,0,0,0,0,0,69,0,0,0,0,0,0,22,0,0,0,5,0
MDC Partners Inc,0.003408962010035969,10319,9,0,0,0,7,0,0,0,0,0,0,114,0,0,0,0,0,1,12,0,9,0,11,0
Beijing Lanxum Technology Co Ltd,0.003395775454296623,1932,7,0,0,0,6,0,0,1,0,0,0,25,0,0,0,0,0,0,10,0,0,0,1,0
National Energy Services Inc,0.0033070765926927256,3435,8,0,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,3,0,0,1,3,0
SHS VIVEON AG,0.0033068585373231887,2313,5,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,22,0,3,0
ad pepper media International N.V.,0.0032797046606145206,3196,12,0,0,0,1,0,0,2,0,0,2,60,0,0,0,0,0,0,34,0,5,0,0,0
ICO Group Ltd,0.003256525393564101,6071,14,0,0,0,4,0,0,1,0,0,0,77,0,0,0,0,0,0,8,0,19,0,20,0
Rapid Fire Marketing Inc,0.0032252326880211797,3412,9,0,0,0,1,0,0,2,0,0,1,124,0,0,0,0,0,0,53,0,1,0,14,0
Hearts United Group Co Ltd,0.003195541940765195,5424,10,0,0,0,4,0,0,1,0,0,0,66,0,0,0,0,0,0,16,0,18,0,24,0
"SOPHIA HOLDINGS CO., LTD.",0.0031929509445103427,2910,13,0,0,0,5,0,0,1,0,0,0,28,0,0,0,0,0,0,9,0,5,0,2,0
Bluedon Information Security Tech Co Ltd,0.0031831425784549085,3101,8,0,0,0,5,0,0,1,0,0,0,34,0,0,0,0,0,0,4,0,3,0,4,0
Umanis SA,0.00315218350401516,3575,8,0,0,0,9,0,0,1,0,0,0,84,0,0,0,0,0,0,1,0,2,0,8,0
Shenzhen Hirisun Technology Inc,0.003085125179729727,2735,8,0,0,0,8,0,0,0,0,0,0,43,0,0,0,0,0,0,1,0,5,0,5,0
Ausenco Limited,0.0030801748412728033,4547,11,0,0,0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,1,0,4,0
Hand Enterprise Solutions Co Ltd,0.003052815239796724,1591,7,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,14,0,1,0
MOLD-TEK Technologies Limited,0.0030004996039597093,4018,8,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,0,0,20,0,1,0,15,0
ANGLE plc,0.0029615402472081796,2961,8,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,13,0,0,0,22,0
AVIC International Maritime Holdings Ltd,0.002836895666507508,4952,13,0,0,0,7,0,0,1,0,0,1,41,0,0,0,0,0,0,11,0,0,0,5,0
Sword Group SE,0.0028297700550698043,5348,8,0,0,0,10,0,0,1,0,0,1,54,0,0,0,0,0,0,19,0,17,0,5,0
Boustead Singapore Limited,0.002816055434224247,3900,9,0,0,0,0,0,0,1,0,0,2,27,0,0,0,0,0,0,4,0,1,0,15,0
NCC Group PLC,0.0027378650693489735,4998,12,0,0,0,4,0,0,1,0,0,0,54,0,0,0,0,0,0,9,0,16,0,21,0
New Sports Group Ltd,0.0027131489327687046,11127,12,0,0,0,10,0,0,0,0,0,3,58,0,0,0,0,0,0,25,0,57,0,5,0
Avega Group AB,0.0027004655150756132,1503,9,0,0,0,9,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,6,0
"Quest Co., Ltd.",0.0026844579452862914,2662,9,0,0,0,2,0,0,0,0,0,1,19,0,0,0,0,0,0,15,0,8,0,4,0
Micropole SA,0.0025450881806653156,4415,10,0,0,0,10,0,0,0,0,0,0,32,0,0,0,0,0,0,27,0,7,0,3,0
Vendator AB,0.0024906629300670198,2823,7,0,0,0,1,0,0,0,0,0,1,23,0,0,0,0,0,0,5,0,5,0,3,0
